Country,Values
http://dbpedia.org/resource/Cinema_of_Singapore,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Cinema_of_Singapore'), 'Cinema of Singapore')]"
http://dbpedia.org/resource/Lithuania,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Lithuania'), 'Lithuania')]"
Cuba,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Cuba'), 'Cuba')]"
http://dbpedia.org/resource/Ireland,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Ireland'), 'Ireland')]"
Pakistan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/PAKISTAN'), 'PAKISTAN')]"
http://dbpedia.org/resource/Netherlands,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Netherlands'), 'Netherlands')]"
"Iran, Canada","[(rdflib.term.URIRef('http://dbpedia.org/resource/Iran'), 'Iran'), (rdflib.term.URIRef('http://dbpedia.org/resource/Canada'), 'Canada')]"
Kazakhstan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Kazakhstan'), 'Kazakhstan')]"
http://dbpedia.org/resource/Egypt,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Egypt'), 'Egypt')]"
http://dbpedia.org/resource/Czech_Republic,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Czech_Republic'), 'Czech Republic')]"
Bosnia and Herzegovina,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Bosnia'), 'Bosnia'), (rdflib.term.URIRef('http://dbpedia.org/resource/Herzegovina'), 'Herzegovina')]"
Cameroon,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Cameroon'), 'Cameroon')]"
http://dbpedia.org/resource/South_Africa,"[(rdflib.term.URIRef('http://dbpedia.org/resource/South_Africa'), 'South Africa')]"
http://dbpedia.org/resource/Nazi_Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Nazi_Germany'), 'Nazi Germany')]"
Singapore,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Singapore'), 'Singapore')]"
Brazil & Colombia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Brazil'), 'Brazil'), (rdflib.term.URIRef('http://dbpedia.org/resource/Colombia'), 'Colombia')]"
France - United States,"[(rdflib.term.URIRef('http://dbpedia.org/resource/FRANCE'), 'FRANCE'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
Uruguay,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Uruguay'), 'Uruguay')]"
http://dbpedia.org/resource/Namibia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Namibia'), 'Namibia')]"
"United States 
Denmark","[(rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States'), (rdflib.term.URIRef('http://dbpedia.org/resource/Denmark'), 'Denmark')]"
http://dbpedia.org/resource/Suriname,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Suriname'), 'Suriname')]"
http://dbpedia.org/resource/Finland,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Finland'), 'Finland')]"
Palestine,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Israel'), 'Israel')]"
http://dbpedia.org/resource/Israel,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Israel'), 'Israel')]"
http://dbpedia.org/resource/Colombia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Colombia'), 'Colombia')]"
Malaysia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Malaysia'), 'Malaysia')]"
http://dbpedia.org/resource/England,"[(rdflib.term.URIRef('http://dbpedia.org/resource/England'), 'England')]"
http://dbpedia.org/resource/Dutch_East_Indies,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Dutch_East_Indies'), 'Dutch East Indies')]"
http://dbpedia.org/resource/Mali,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Mali'), 'Mali')]"
http://dbpedia.org/resource/Kazakhstan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Kazakhstan'), 'Kazakhstan')]"
"France, Bangladesh, among many other locations","[(rdflib.term.URIRef('http://dbpedia.org/resource/FRANCE'), 'FRANCE'), (rdflib.term.URIRef('http://dbpedia.org/resource/Bangladesh'), 'Bangladesh')]"
http://dbpedia.org/resource/Nigeria,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Nigeria'), 'Nigeria')]"
Tunisia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Tunisia'), 'Tunisia')]"
http://dbpedia.org/resource/Ukraine,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Ukraine'), 'Ukraine')]"
Czech Republic,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Czech_Republic'), 'Czech Republic')]"
"Sweden, Denmark, Italy","[(rdflib.term.URIRef('http://dbpedia.org/resource/Sweden'), 'Sweden'), (rdflib.term.URIRef('http://dbpedia.org/resource/Denmark'), 'Denmark'), (rdflib.term.URIRef('http://dbpedia.org/resource/Italy'), 'Italy')]"
http://dbpedia.org/resource/Kenya,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Kenya'), 'Kenya')]"
http://dbpedia.org/resource/Vietnam,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Vietnam'), 'Vietnam')]"
Cambodia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Cambodia'), 'Cambodia')]"
http://dbpedia.org/resource/Austria,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Austria'), 'Austria')]"
http://dbpedia.org/resource/Socialist_Federal_Republic_of_Yugoslavia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Socialist_Federal_Republic_of_Yugoslavia'), 'Socialist Federal Republic of Yugoslavia')]"
Bulgaria,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Bulgaria'), 'Bulgaria')]"
Czechia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Czech_Republic'), 'Czech Republic')]"
Lebanon,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Lebanon'), 'Lebanon')]"
http://dbpedia.org/resource/Singapore,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Singapore'), 'Singapore')]"
http://dbpedia.org/resource/Cinema_of_Germany,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Cinema_of_Germany'), 'Cinema of Germany')]"
http://dbpedia.org/resource/Equatorial_Guinea,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Equatorial_Guinea'), 'Equatorial Guinea')]"
http://dbpedia.org/resource/Serbia,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Serbia'), 'Serbia')]"
http://dbpedia.org/resource/Cinema_of_China,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Cinema_of_China'), 'Cinema of China')]"
Kyrgyzstan,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Kyrgyzstan'), 'Kyrgyzstan')]"
http://dbpedia.org/resource/Television_in_Hong_Kong,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Television_in_Hong_Kong'), 'Television in Hong Kong')]"
Canada; United States,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Canada'), 'Canada'), (rdflib.term.URIRef('http://dbpedia.org/resource/United_States'), 'United States')]"
http://dbpedia.org/resource/Argentina,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Argentina'), 'Argentina')]"
http://dbpedia.org/resource/Greece,"[(rdflib.term.URIRef('http://dbpedia.org/resource/Greece'), 'Greece')]"
