movie_uri,movie,releaseDate,runtime,language,budget,boxOffice,plot,franchise,actors,genres,directors,producers,distributors,filmingLocations,awards
http://dbpedia.org/resource/Carmen_(1931_film),Carmen (1931 film),1931-10-30,4620.0,http://dbpedia.org/resource/English_language,,,"Carmen is a 1931 British musical film directed by Cecil Lewis and starring Marguerite Namara, Thomas F. Burke and Lance Fairfax. It is an adaptation of the opera Carmen by Georges Bizet. It is also known by the alternative title of Gipsy Blood. It was produced by British International Pictures, the country's leading company of the early sound era, and shot at the Elstree Studios near London.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carmen_(1942_film),Carmen (1942 film),1944-08-08,7440.0,http://dbpedia.org/resource/French_language,,,"Carmen is a French-Italian musical drama film directed by Christian-Jaque and starring Viviane Romance, Jean Marais and Lucien Coëdel. It is a version of the famous opera. Although filmed in 1942 it was not released until 1944 in France and 1945 in Italy. It was one of the most popular movies in France in 1945 with admissions of 4,277,813. The film's sets were designed by the art director Robert Gys. It was shot at the in Rome.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carmen_from_Kawachi,Carmen from Kawachi,1966-02-05,5340.0,http://dbpedia.org/resource/Cinema_of_Japan,,,"Carmen from Kawachi (河内カルメン, Kawachi Karumen) is a 1966 Japanese B movie directed by Seijun Suzuki for the Nikkatsu Corporation. It is Suzuki's third adaptation of a Toko Kon novel, following The Bastard and Stories of Bastards: Born Under a Bad Star.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carnival_Confession,Carnival Confession,1960-09-15,5820.0,http://dbpedia.org/resource/German_language,,,"Carnival Confession (German: Die Fastnachtsbeichte) is a 1960 West German crime film directed by William Dieterle and starring Hans Söhnker, Gitty Djamal and Götz George. It was made by the revived UFA company and was the veteran director Dieterle's penultimate cinema film and his last in his native Germany.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carnival_Lady,Carnival Lady,1933-11-11,3840.0,http://dbpedia.org/resource/English_language,,,"Carnival Lady is a 1933 American drama film directed by Howard Higgin and starring Boots Mallory, Allen Vincent and . The film's sets were designed by the art director Lewis J. Rachmil.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carnival_in_White,Carnival in White,1952-10-30,5100.0,http://dbpedia.org/resource/German_language,,,"Carnival in White (German: Karneval in Weiß) is a 1952 West German comedy film directed by Hans Albin and Harry R. Sokal, starring Adrian Hoven, Hannelore Bollmann and Lucie Englisch. It was made at the Bavaria Studios in Munich and on location at the Swiss resort town St. Moritz. The film's sets were designed by Ernst H. Albrecht.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Carousel_of_Variety,Carousel of Variety,1955-06-20,5880.0,http://dbpedia.org/resource/Italy,,,Carousel of Variety (Italian: Carosello del varietà) is a 1955 Italian musical film directed by and and featuring a number of performers in a revue-style show.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Casino_Raiders_II,Casino Raiders II,1991-06-13,5460.0,http://dbpedia.org/resource/Cantonese,,2.6889659E7,"Casino Raiders II is a 1991 Hong Kong action drama film directed by Johnnie To and starring Andy Lau, Dave Wong, Jacklyn Wu and Monica Chan. Despite the title, the film is the third installment in the Casino Raiders film series, following Casino Raiders (1989) and No Risk, No Gain (1990). The films in the series are unrelated in plot and merely share the same principal actor of Lau.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Bay_of_Angels,Bay of Angels,1963-03-01,5340.0,http://dbpedia.org/resource/French_language,,100000.0,"Bay of Angels (French: La baie des anges) is a 1963 French film directed by Jacques Demy. Starring Jeanne Moreau and , it is Demy's second film and deals with the subject of gambling. Costumes by Pierre Cardin.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Bayside_Shakedown_2,Bayside Shakedown 2,2003-07-19,8280.0,http://dbpedia.org/resource/Japanese_language,,1.6445E8,"Bayside Shakedown 2 (踊る大捜査線 THE MOVIE 2 レインボーブリッジを封鎖せよ!, Odoru Daisōsasen Za Mūbī Tsū Reinbōburizzi o Fūsaseyo!) is the second film based on the popular Bayside Shakedown TV series, known for its unique and humorous depiction of the Japanese police force while avoiding the conventions that define most police dramas. The movie was released in the summer of 2003. Bayside Shakedown 2 is the all-time highest-grossing Japanese live-action movie on domestic screens and earned ¥17.35 billion at the box office.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Bayside_Shakedown_2,Bayside Shakedown 2,2003-07-19,8280.0,http://dbpedia.org/resource/Japanese_language,,1.735E10,"Bayside Shakedown 2 (踊る大捜査線 THE MOVIE 2 レインボーブリッジを封鎖せよ!, Odoru Daisōsasen Za Mūbī Tsū Reinbōburizzi o Fūsaseyo!) is the second film based on the popular Bayside Shakedown TV series, known for its unique and humorous depiction of the Japanese police force while avoiding the conventions that define most police dramas. The movie was released in the summer of 2003. Bayside Shakedown 2 is the all-time highest-grossing Japanese live-action movie on domestic screens and earned ¥17.35 billion at the box office.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Beatrice_(1987_film),Beatrice (1987 film),1987-11-11,7440.0,http://dbpedia.org/resource/French_language,,4000000.0,"Beatrice (French:La passion Béatrice, Italian:Quarto comandamento) is a 1987 French-Italian historical drama film directed by Bertrand Tavernier and starring Bernard-Pierre Donnadieu, Julie Delpy and Nils Tavernier.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Casa_de_Mujeres,Casa de Mujeres,1966-09-30,6000.0,http://dbpedia.org/resource/Spanish_language,,,"Casa de Mujeres (""House of Women"") is a 1966 Mexican drama film directed by Julián Soler and starring Dolores del Río. In some countries the film was named El Hijo de Todas (""The Son of All"").",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Casanova_(1934_film),Casanova (1934 film),1934-03-12,5640.0,http://dbpedia.org/resource/French_language,,,"Casanova is a 1934 French comedy drama film directed by René Barberis and starring Ivan Mozzhukhin, Jeanne Boitel and Madeleine Ozeray.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Castles_in_the_Air_(1939_film),Castles in the Air (1939 film),1939-03-19,5760.0,http://dbpedia.org/resource/Italian_language,,,"Castles in the Air (Italian: Castelli in aria) is a 1939 Italian ""white-telephones"" comedy film directed by Augusto Genina and starring Lilian Harvey, Vittorio De Sica and Otto Treßler. It was made at Cinecittà in Rome, as part of a co-production with Germany. A separate German-language version was also released. It is based on a novel by .",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
