movie_uri,movie,releaseDate,runtime,duration,language,budget,boxOffice,basedOn,basedOn_uri,IMDbID,RottenTomatoesID,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs,series,series_URIs
http://www.wikidata.org/entity/Q124246343,Head South,2024-01-01T00:00:00Z,98,98,English,,,,,tt23711262,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q124844934,Resynator,2024-03-10T00:00:00Z,96,96,English,,,,,tt5778628,m/resynator,documentary film,http://www.wikidata.org/entity/Q93204,,,Alison Tavel,http://www.wikidata.org/entity/Q126007966,,,"Sara Nesson, Brendan Walter, Alison Tavel","http://www.wikidata.org/entity/Q18712334, http://www.wikidata.org/entity/Q37804158, http://www.wikidata.org/entity/Q126007966",,,,,,,,,,,,
http://www.wikidata.org/entity/Q122723743,Slotherhouse,2024-04-11T00:00:00Z,93,93,English,,,,,tt15422224,m/slotherhouse,comedy horror,http://www.wikidata.org/entity/Q224700,"Stefan Kapičić, Lisa Ambalavanar, Sydney Craven, Tiff Stevenson, Olivia Rouyre, Bianca Beckles-Rose","http://www.wikidata.org/entity/Q1262154, http://www.wikidata.org/entity/Q96633959, http://www.wikidata.org/entity/Q30011279, http://www.wikidata.org/entity/Q20685676, http://www.wikidata.org/entity/Q122940171, http://www.wikidata.org/entity/Q122940179",Matthew Goodhue,http://www.wikidata.org/entity/Q122940157,"Gravitas Ventures, ADS Service","http://www.wikidata.org/entity/Q5597985, http://www.wikidata.org/entity/Q16516296","Mark David, Bradley Fowler","http://www.wikidata.org/entity/Q113552805, http://www.wikidata.org/entity/Q122940192",Sam Ewing,http://www.wikidata.org/entity/Q122171608,Mark David,http://www.wikidata.org/entity/Q113552805,,,,,,,,
http://www.wikidata.org/entity/Q112054623,In the Land of Saints and Sinners,2024-02-08T00:00:00Z,106,106,English,,,,,tt15782690,m/in_the_land_of_saints_and_sinners,"action film, thriller film","http://www.wikidata.org/entity/Q188473, http://www.wikidata.org/entity/Q2484376","Liam Neeson, Kerry Condon, Colm Meaney, Ciarán Hinds, Jack Gleeson","http://www.wikidata.org/entity/Q58444, http://www.wikidata.org/entity/Q257625, http://www.wikidata.org/entity/Q313671, http://www.wikidata.org/entity/Q314892, http://www.wikidata.org/entity/Q777260",Robert Lorenz,http://www.wikidata.org/entity/Q324177,Netflix,http://www.wikidata.org/entity/Q907311,"Geraldine Hughes, Philip Lee, Terry Loane, Bonnie Timmermann, Adrian Grabe","http://www.wikidata.org/entity/Q3103919, http://www.wikidata.org/entity/Q11332490, http://www.wikidata.org/entity/Q113450156, http://www.wikidata.org/entity/Q113859949, http://www.wikidata.org/entity/Q95877062",Great Garbo,http://www.wikidata.org/entity/Q1544277,Tom Stern,http://www.wikidata.org/entity/Q2063318,Ardara,http://www.wikidata.org/entity/Q638551,"Davis Films, Merlin Films","http://www.wikidata.org/entity/Q3703758, http://www.wikidata.org/entity/Q95402668",,,,
http://www.wikidata.org/entity/Q125693182,Something in the Water,2024-05-03T00:00:00Z,86,86,English,,,,,tt22863968,m/something_in_the_water,thriller film,http://www.wikidata.org/entity/Q2484376,"Lauren Lyle, Hiftu Quasem, Natalie Mitson","http://www.wikidata.org/entity/Q27864272, http://www.wikidata.org/entity/Q106828495, http://www.wikidata.org/entity/Q124176883",,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q122703295,"And the King Said, What a Fantastic Machine",2024-02-01T00:00:00Z,88,88,English,,,,,tt24082520,,documentary film,http://www.wikidata.org/entity/Q93204,,,"Axel Danielson, Maximilien van Aertryck","http://www.wikidata.org/entity/Q26912640, http://www.wikidata.org/entity/Q26912642",Vertigo Média,http://www.wikidata.org/entity/Q28871047,,,,,"Axel Danielson, Maximilien van Aertryck","http://www.wikidata.org/entity/Q26912640, http://www.wikidata.org/entity/Q26912642",,,,,,,,
http://www.wikidata.org/entity/Q124658571,How to Date Billy Walsh,2024-01-01T00:00:00Z,94,94,English,,,,,tt16156616,m/how_to_date_billy_walsh,,,"Lucy Punch, Kunal Nayyar, Charithra Chandran, Tanner Buchanan, Sebastian Croft","http://www.wikidata.org/entity/Q261579, http://www.wikidata.org/entity/Q310375, http://www.wikidata.org/entity/Q106320886, http://www.wikidata.org/entity/Q16745199, http://www.wikidata.org/entity/Q24004789",Alex Pillai,http://www.wikidata.org/entity/Q114565731,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q117014906,Mean Girls,2024-01-10T00:00:00Z,112,112,English,,,Mean Girls,http://www.wikidata.org/entity/Q28453248,tt11762114,m/mean_girls_2024,"comedy film, musical film","http://www.wikidata.org/entity/Q157443, http://www.wikidata.org/entity/Q842256","Tina Fey, Jenna Fischer, Busy Philipps, Tim Meadows, Jon Hamm, Jaquel Spivey, Christopher Briney, Bebe Wood, Reneé Rapp, Auliʻi Cravalho, Ashley Park, Avantika Vandanapu, Angourie Rice, Connor Ratliff","http://www.wikidata.org/entity/Q14540, http://www.wikidata.org/entity/Q238877, http://www.wikidata.org/entity/Q235740, http://www.wikidata.org/entity/Q1322660, http://www.wikidata.org/entity/Q313107, http://www.wikidata.org/entity/Q112291617, http://www.wikidata.org/entity/Q113136886, http://www.wikidata.org/entity/Q10427580, http://www.wikidata.org/entity/Q64733275, http://www.wikidata.org/entity/Q24455611, http://www.wikidata.org/entity/Q28857171, http://www.wikidata.org/entity/Q19955713, http://www.wikidata.org/entity/Q24034671, http://www.wikidata.org/entity/Q104863946","Samantha Jayne, Arturo Perez Jr.","http://www.wikidata.org/entity/Q89603298, http://www.wikidata.org/entity/Q123566133","Paramount Pictures, UIP-Dunafilm","http://www.wikidata.org/entity/Q159846, http://www.wikidata.org/entity/Q1329615","Tina Fey, Lorne Michaels","http://www.wikidata.org/entity/Q14540, http://www.wikidata.org/entity/Q521221",Jeff Richmond,http://www.wikidata.org/entity/Q641975,,,,,"Broadway Video, Little Stranger, Paramount Players","http://www.wikidata.org/entity/Q4972541, http://www.wikidata.org/entity/Q10319190, http://www.wikidata.org/entity/Q30644098",,,,
http://www.wikidata.org/entity/Q124285697,American Star,2024-01-01T00:00:00Z,107,107,English,,,,,tt19984386,m/american_star,thriller film,http://www.wikidata.org/entity/Q2484376,"Thomas Kretschmann, Fanny Ardant, Ian McShane, Nora Arnezeder, Sabela Arán, Andrés Gertrúdix, Adam Nagaitis, Oscar Coleman","http://www.wikidata.org/entity/Q57614, http://www.wikidata.org/entity/Q106349, http://www.wikidata.org/entity/Q234141, http://www.wikidata.org/entity/Q291466, http://www.wikidata.org/entity/Q12399434, http://www.wikidata.org/entity/Q5675797, http://www.wikidata.org/entity/Q27601724, http://www.wikidata.org/entity/Q124413518",Gonzalo López-Gallego,http://www.wikidata.org/entity/Q1059776,"IFC Films, Vertigo Films","http://www.wikidata.org/entity/Q2910457, http://www.wikidata.org/entity/Q4010298","Ian McShane, Michael Elliott","http://www.wikidata.org/entity/Q234141, http://www.wikidata.org/entity/Q6830106",Remate,http://www.wikidata.org/entity/Q6105219,José David Montero,http://www.wikidata.org/entity/Q21280657,,,,,,,,
http://www.wikidata.org/entity/Q129652261,The Invisibles,2024-03-10T00:00:00Z,107,107,English,,,,,tt14872806,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q125858197,Gaga Chromatica Ball,2024-05-25T00:00:00Z,,,English,,,,,tt29794647,m/gaga_chromatica_ball,"pop music, concert film","http://www.wikidata.org/entity/Q37073, http://www.wikidata.org/entity/Q430525",Lady Gaga,http://www.wikidata.org/entity/Q19848,Lady Gaga,http://www.wikidata.org/entity/Q19848,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q120188885,Bird,2024-05-16T00:00:00Z,119,119,English,,,,,tt28277817,m/bird_2024,drama film,http://www.wikidata.org/entity/Q130232,"Franz Rogowski, Barry Keoghan, James Nelson-Joyce, Joanne Matthews","http://www.wikidata.org/entity/Q16064485, http://www.wikidata.org/entity/Q28542230, http://www.wikidata.org/entity/Q118355980, http://www.wikidata.org/entity/Q122790165",Andrea Arnold,http://www.wikidata.org/entity/Q457493,"MUBI, Ad Vitam Distribution","http://www.wikidata.org/entity/Q693730, http://www.wikidata.org/entity/Q21511428",Tessa Ross,http://www.wikidata.org/entity/Q7705620,,,,,,,"British Film Institute, BBC Film, Canal+, Ciné+, Arte France Cinéma, Ad Vitam Distribution, Access Entertainment","http://www.wikidata.org/entity/Q260528, http://www.wikidata.org/entity/Q971446, http://www.wikidata.org/entity/Q1032540, http://www.wikidata.org/entity/Q2595367, http://www.wikidata.org/entity/Q2864822, http://www.wikidata.org/entity/Q21511428, http://www.wikidata.org/entity/Q111915684",,,,
http://www.wikidata.org/entity/Q124335954,A Traveler’s Needs,2024-01-01T00:00:00Z,,,English,,,,,tt31015344,m/a_travelers_needs,drama film,http://www.wikidata.org/entity/Q130232,"Isabelle Huppert, Kwon Hae-hyo, Lee Haeyoung","http://www.wikidata.org/entity/Q106365, http://www.wikidata.org/entity/Q6771032, http://www.wikidata.org/entity/Q6781815",Hong Sang-soo,http://www.wikidata.org/entity/Q484572,,,Hong Sang-soo,http://www.wikidata.org/entity/Q484572,Hong Sang-soo,http://www.wikidata.org/entity/Q484572,Hong Sang-soo,http://www.wikidata.org/entity/Q484572,,,,,,,,
http://www.wikidata.org/entity/Q121091587,The Killer's Game,2024-09-13T00:00:00Z,104,104,English,,,,,tt0327785,m/the_killers_game,"comedy film, action film, film based on a novel","http://www.wikidata.org/entity/Q157443, http://www.wikidata.org/entity/Q188473, http://www.wikidata.org/entity/Q52207399","Scott Adkins, Dave Bautista, Ben Kingsley, Ice Cube, Daniel Bernhardt, Sofia Boutella, Drew McIntyre, Lee Hoon, Pom Klementieff, Marko Zaror","http://www.wikidata.org/entity/Q28310, http://www.wikidata.org/entity/Q44158, http://www.wikidata.org/entity/Q173158, http://www.wikidata.org/entity/Q173637, http://www.wikidata.org/entity/Q115932, http://www.wikidata.org/entity/Q258777, http://www.wikidata.org/entity/Q311944, http://www.wikidata.org/entity/Q493916, http://www.wikidata.org/entity/Q3395911, http://www.wikidata.org/entity/Q612046",J.J. Perry,http://www.wikidata.org/entity/Q4351712,Lionsgate,http://www.wikidata.org/entity/Q515869,Andrew Lazar,http://www.wikidata.org/entity/Q4757720,Roque Baños,http://www.wikidata.org/entity/Q1340657,Flavio Martínez Labiano,http://www.wikidata.org/entity/Q12257885,,,Mad Chance,http://www.wikidata.org/entity/Q3275123,,,,
http://www.wikidata.org/entity/Q122964827,The Contestant,2024-05-02T00:00:00Z,90,90,English,,,,,tt13940818,,documentary film,http://www.wikidata.org/entity/Q93204,,,,,,,,,,,,,,,,,"Nasubi, reality television","http://www.wikidata.org/entity/Q11274257, http://www.wikidata.org/entity/Q182415",,
http://www.wikidata.org/entity/Q127869960,Dead Sea,2024-07-26T00:00:00Z,88,88,English,,,,,tt11724920,,,,Isabel Gravitt,http://www.wikidata.org/entity/Q67903333,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q124370507,Thelma the Unicorn,2024-05-17T00:00:00Z,93,93,English,,,,,tt10442352,m/thelma_the_unicorn,"comedy film, musical film, adventure film","http://www.wikidata.org/entity/Q157443, http://www.wikidata.org/entity/Q842256, http://www.wikidata.org/entity/Q319221",,,Jared Hess,http://www.wikidata.org/entity/Q2480656,Netflix,http://www.wikidata.org/entity/Q907311,Pam Coats,http://www.wikidata.org/entity/Q23992768,John Powell,http://www.wikidata.org/entity/Q313540,,,,,Netflix Animation,http://www.wikidata.org/entity/Q104414180,,,,
http://www.wikidata.org/entity/Q121076570,Paddington in Peru,2024-11-08T00:00:00Z,,,English,,,,,tt5822536,m/paddington_in_peru,"comedy film, live-action animated film","http://www.wikidata.org/entity/Q157443, http://www.wikidata.org/entity/Q25110269","Antonio Banderas, Hugh Bonneville, Julie Walters, Emily Mortimer, Jim Broadbent, Ben Whishaw, Samuel Joslin, Olivia Colman, Madeleine Harris","http://www.wikidata.org/entity/Q41548, http://www.wikidata.org/entity/Q155775, http://www.wikidata.org/entity/Q228747, http://www.wikidata.org/entity/Q230308, http://www.wikidata.org/entity/Q185079, http://www.wikidata.org/entity/Q342617, http://www.wikidata.org/entity/Q15639406, http://www.wikidata.org/entity/Q7088045, http://www.wikidata.org/entity/Q19960315",Dougal Wilson,http://www.wikidata.org/entity/Q5301060,,,Rosie Alison,http://www.wikidata.org/entity/Q24049152,Dario Marianelli,http://www.wikidata.org/entity/Q360399,,,,,"Heyday Films, StudioCanal","http://www.wikidata.org/entity/Q2415769, http://www.wikidata.org/entity/Q2450848",,,Paddington,http://www.wikidata.org/entity/Q48672651
http://www.wikidata.org/entity/Q116692764,Problemista,2024-03-22T00:00:00Z,98,98,English,,,,,tt15078804,m/problemista,"comedy film, surrealist cinema","http://www.wikidata.org/entity/Q157443, http://www.wikidata.org/entity/Q1190502","RZA, Tilda Swinton, Catalina Saavedra, Larry Owens, Laith Nakli, Greta Lee, Kelly McCormack, James Scully, Julio Torres, Charlene Incarnate, Greta Titelman, Megan Stalter, Martine Gutierrez","http://www.wikidata.org/entity/Q52447, http://www.wikidata.org/entity/Q200534, http://www.wikidata.org/entity/Q441977, http://www.wikidata.org/entity/Q111952573, http://www.wikidata.org/entity/Q45740631, http://www.wikidata.org/entity/Q19517962, http://www.wikidata.org/entity/Q25898088, http://www.wikidata.org/entity/Q61313174, http://www.wikidata.org/entity/Q65030610, http://www.wikidata.org/entity/Q68599738, http://www.wikidata.org/entity/Q123155518, http://www.wikidata.org/entity/Q95208332, http://www.wikidata.org/entity/Q97609995",Julio Torres,http://www.wikidata.org/entity/Q65030610,A24,http://www.wikidata.org/entity/Q16248298,"Emma Stone, Dave McCary, Julio Torres","http://www.wikidata.org/entity/Q147077, http://www.wikidata.org/entity/Q16732230, http://www.wikidata.org/entity/Q65030610",Robert Ouyang Rusli,http://www.wikidata.org/entity/Q124747800,Fredrik Wenzel,http://www.wikidata.org/entity/Q6236272,New York City,http://www.wikidata.org/entity/Q60,Fruit Tree,http://www.wikidata.org/entity/Q122199349,,,,
http://www.wikidata.org/entity/Q113012523,Blink Twice,2024-08-21T00:00:00Z,102,102,English,,,,,tt14858658,m/blink_twice,"action film, thriller film","http://www.wikidata.org/entity/Q188473, http://www.wikidata.org/entity/Q2484376","Simon Rex, Channing Tatum, Christian Slater, Kyle MacLachlan, Geena Davis, Haley Joel Osment, Alia Shawkat, Naomi Ackie, Adria Arjona, María Elena Olivares","http://www.wikidata.org/entity/Q175305, http://www.wikidata.org/entity/Q212064, http://www.wikidata.org/entity/Q204590, http://www.wikidata.org/entity/Q207506, http://www.wikidata.org/entity/Q280098, http://www.wikidata.org/entity/Q489856, http://www.wikidata.org/entity/Q466051, http://www.wikidata.org/entity/Q47456743, http://www.wikidata.org/entity/Q18684239, http://www.wikidata.org/entity/Q129524704",Zoë Kravitz,http://www.wikidata.org/entity/Q227129,"Metro-Goldwyn-Mayer, InterCom, FilmNation Entertainment","http://www.wikidata.org/entity/Q179200, http://www.wikidata.org/entity/Q1097348, http://www.wikidata.org/entity/Q5448895","Zoë Kravitz, Bruce Cohen","http://www.wikidata.org/entity/Q227129, http://www.wikidata.org/entity/Q543498",Chanda Dancy,http://www.wikidata.org/entity/Q5070897,,,,,Metro-Goldwyn-Mayer,http://www.wikidata.org/entity/Q179200,,,,
http://www.wikidata.org/entity/Q125295777,The Wasp,2024-01-01T00:00:00Z,96,96,English,,,,,tt21958136,m/the_wasp,psychological thriller,http://www.wikidata.org/entity/Q590103,,,Guillem Morales,http://www.wikidata.org/entity/Q15069841,Shout! Factory,http://www.wikidata.org/entity/Q7502767,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q130616239,Mr. Crocket,2024-10-11T00:00:00Z,,,English,,,,,tt32916093,m/mr_crocket,supernatural horror film,http://www.wikidata.org/entity/Q43911809,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q116141854,Mr. Freeman,2024-01-11T00:00:00Z,93,93,English,,,,,tt23782634,,drama film,http://www.wikidata.org/entity/Q130232,"Nicolas Bro, Caspar Phillipson, Mia Lyhne, Daouda Keita, Kian Lawson-Khalili, Justin Geertsen, Sylvester Espersen Byder, Lina Lund Jørgensen","http://www.wikidata.org/entity/Q1797671, http://www.wikidata.org/entity/Q12305524, http://www.wikidata.org/entity/Q3427562, http://www.wikidata.org/entity/Q105352051, http://www.wikidata.org/entity/Q108471703, http://www.wikidata.org/entity/Q56827271, http://www.wikidata.org/entity/Q76946927, http://www.wikidata.org/entity/Q123911332",Mads Matthiesen,http://www.wikidata.org/entity/Q12325636,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q124547601,The Last Showgirl,2024-01-01T00:00:00Z,,,English,,,,,tt31193791,m/the_last_showgirl,drama film,http://www.wikidata.org/entity/Q130232,"Jamie Lee Curtis, Pamela Anderson, Kiernan Shipka","http://www.wikidata.org/entity/Q106997, http://www.wikidata.org/entity/Q83325, http://www.wikidata.org/entity/Q439939",Gia Coppola,http://www.wikidata.org/entity/Q9267785,,,Robert Coppola Schwartzman,http://www.wikidata.org/entity/Q2001430,Andrew Wyatt,http://www.wikidata.org/entity/Q4758985,Autumn Durald,http://www.wikidata.org/entity/Q16934978,,,,,,,,
http://www.wikidata.org/entity/Q129255850,Cocaine Werewolf,2024-07-05T00:00:00Z,80,80,English,,,,,tt31448377,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q130641055,Monster on a Plane,2024-01-01T00:00:00Z,,,English,,,,,tt27811009,,,,,,Ezra Tsegaye,http://www.wikidata.org/entity/Q1386089,,,Chris Cornelsen,http://www.wikidata.org/entity/Q95782499,,,"Ezra Tsegaye, Kristina Schippling","http://www.wikidata.org/entity/Q1386089, http://www.wikidata.org/entity/Q112519367",,,,,,,,
