movie_uri,movie,releaseDate,runtime,duration,language,budget,boxOffice,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs
http://www.wikidata.org/entity/Q77399631,Amityville: Evil Never Dies,2017-01-01T00:00:00Z,74,74,English,,,"horror film, ghost film","http://www.wikidata.org/entity/Q200092, http://www.wikidata.org/entity/Q31888058","Mark Patton, Helene Udy","http://www.wikidata.org/entity/Q2319262, http://www.wikidata.org/entity/Q3784523",Dustin Ferguson,http://www.wikidata.org/entity/Q64740255,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q48839262,78/52,2017-01-01T00:00:00Z,91,91,English,,,documentary film,http://www.wikidata.org/entity/Q93204,,,Alexandre O. Philippe,http://www.wikidata.org/entity/Q42293003,"Hulu, IFC Midnight","http://www.wikidata.org/entity/Q1630304, http://www.wikidata.org/entity/Q106690242",,,,,Robert Muratore,http://www.wikidata.org/entity/Q93388133,,,,,shower scene of Psycho,http://www.wikidata.org/entity/Q16028915
http://www.wikidata.org/entity/Q24251026,Transformers: The Last Knight,2017-06-21T00:00:00Z,154,154,English,217000000,130168683,science fiction action film,http://www.wikidata.org/entity/Q20656232,"Josh Duhamel, Anthony Hopkins, Stanley Tucci, Mark Wahlberg, Mitch Pileggi, Santiago Cabrera, John Turturro, Liam Garrigan, Laura Haddock, Isabela Moner, Jerrod Carmichael","http://www.wikidata.org/entity/Q19794, http://www.wikidata.org/entity/Q65932, http://www.wikidata.org/entity/Q223117, http://www.wikidata.org/entity/Q164119, http://www.wikidata.org/entity/Q279169, http://www.wikidata.org/entity/Q352021, http://www.wikidata.org/entity/Q244234, http://www.wikidata.org/entity/Q1567538, http://www.wikidata.org/entity/Q1807757, http://www.wikidata.org/entity/Q20830731, http://www.wikidata.org/entity/Q20973967",Michael Bay,http://www.wikidata.org/entity/Q59259,"Paramount Pictures, Hulu, UIP-Dunafilm","http://www.wikidata.org/entity/Q159846, http://www.wikidata.org/entity/Q1630304, http://www.wikidata.org/entity/Q1329615","Ian Bryce, Lorenzo di Bonaventura, Don Murphy, Tom DeSanto","http://www.wikidata.org/entity/Q536964, http://www.wikidata.org/entity/Q636664, http://www.wikidata.org/entity/Q2270687, http://www.wikidata.org/entity/Q6811130",Steve Jablonsky,http://www.wikidata.org/entity/Q18920,Jonathan Sela,http://www.wikidata.org/entity/Q27057618,Arizona,http://www.wikidata.org/entity/Q816,"Paramount Pictures, DreamWorks","http://www.wikidata.org/entity/Q159846, http://www.wikidata.org/entity/Q192557",,
http://www.wikidata.org/entity/Q19867188,Same Kind of Different as Me,2017-10-20T00:00:00Z,,,English,,,drama film,http://www.wikidata.org/entity/Q130232,"Renée Zellweger, Jon Voight, Olivia Holt, Djimon Hounsou, Greg Kinnear, Mykel Shannon Jenkins, Daniel Zacapa, Tonea Stewart, Lara Grice, Stephanie Leigh Schlund, Thomas Francis Murphy, David Jensen, Ann Mahoney, Peyton Wich, Theodus Crane, Ty Parker, Dana Gourrier, Regina Taufen, Nyles Steele, Austin Filson, Al Mitchell, Stacy Hall, Lucky Johnson, Rudy Eisenzopf, John Newberg, Kenda Benward, Geraldine Singer","http://www.wikidata.org/entity/Q122614, http://www.wikidata.org/entity/Q167520, http://www.wikidata.org/entity/Q259047, http://www.wikidata.org/entity/Q298682, http://www.wikidata.org/entity/Q269869, http://www.wikidata.org/entity/Q6947528, http://www.wikidata.org/entity/Q5219143, http://www.wikidata.org/entity/Q2441606, http://www.wikidata.org/entity/Q20631143, http://www.wikidata.org/entity/Q19662883, http://www.wikidata.org/entity/Q16253434, http://www.wikidata.org/entity/Q19405928, http://www.wikidata.org/entity/Q27039238, http://www.wikidata.org/entity/Q28801964, http://www.wikidata.org/entity/Q27663688, http://www.wikidata.org/entity/Q28804278, http://www.wikidata.org/entity/Q23010323, http://www.wikidata.org/entity/Q24576984, http://www.wikidata.org/entity/Q28806718, http://www.wikidata.org/entity/Q28807155, http://www.wikidata.org/entity/Q28808955, http://www.wikidata.org/entity/Q28807074, http://www.wikidata.org/entity/Q28806784, http://www.wikidata.org/entity/Q28806742, http://www.wikidata.org/entity/Q28806748, http://www.wikidata.org/entity/Q28806982, http://www.wikidata.org/entity/Q28807459",Michael Carney,http://www.wikidata.org/entity/Q28799812,"Paramount Pictures, Netflix","http://www.wikidata.org/entity/Q159846, http://www.wikidata.org/entity/Q907311",Ron Hall,http://www.wikidata.org/entity/Q28806957,John Paesano,http://www.wikidata.org/entity/Q16734003,Don Burgess,http://www.wikidata.org/entity/Q484980,,,,,,
http://www.wikidata.org/entity/Q30758382,Dispossession: The Great Social Housing Swindle,2017-01-01T00:00:00Z,,,English,,,documentary film,http://www.wikidata.org/entity/Q93204,Maxine Peake,http://www.wikidata.org/entity/Q3853137,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q21010887,Youth in Oregon,2017-02-03T00:00:00Z,105,105,English,,,"drama film, comedy drama","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q859369","Josh Lucas, Christina Applegate, Mary Kay Place, Nicola Peltz, Frank Langella, Aaron Yoo, Edward Hibbert, Billy Crudup, Geoffrey Owens, Robert Hogan, Alex Shaffer, Carla Quevedo, Maryann Plunkett","http://www.wikidata.org/entity/Q53651, http://www.wikidata.org/entity/Q188280, http://www.wikidata.org/entity/Q238924, http://www.wikidata.org/entity/Q236347, http://www.wikidata.org/entity/Q310944, http://www.wikidata.org/entity/Q302930, http://www.wikidata.org/entity/Q560413, http://www.wikidata.org/entity/Q313650, http://www.wikidata.org/entity/Q718857, http://www.wikidata.org/entity/Q1928335, http://www.wikidata.org/entity/Q4717778, http://www.wikidata.org/entity/Q5749370, http://www.wikidata.org/entity/Q6781118",Joel David Moore,http://www.wikidata.org/entity/Q371786,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q57262044,A Witches' Ball,2017-05-06T00:00:00Z,,,English,,,,,Joey Fatone,http://www.wikidata.org/entity/Q1640877,Justin G. Dyck,http://www.wikidata.org/entity/Q58479035,Netflix,http://www.wikidata.org/entity/Q907311,,,,,,,,,,,,
http://www.wikidata.org/entity/Q55636067,Tough Guys,2017-01-01T00:00:00Z,,,English,,,documentary film,http://www.wikidata.org/entity/Q93204,,,,,Hulu,http://www.wikidata.org/entity/Q1630304,Morgan Spurlock,http://www.wikidata.org/entity/Q364421,,,,,,,,,,
http://www.wikidata.org/entity/Q20022670,The Birth of a Nation,2017-04-13T00:00:00Z,110,110,English,8000000,,"drama film, biographical film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q645928","Penelope Ann Miller, Jackie Earle Haley, Aunjanue Ellis-Taylor, Gabrielle Union, Mark Boone Junior, Armie Hammer, Colman Domingo, Dwight Henry, Cullen Moss, Jason Stuart, Aja Naomi King, Roger Guenveur Smith, Jeryl Prescott, Esther Scott, Nate Parker, Tom Proctor","http://www.wikidata.org/entity/Q235002, http://www.wikidata.org/entity/Q314841, http://www.wikidata.org/entity/Q461762, http://www.wikidata.org/entity/Q231648, http://www.wikidata.org/entity/Q718382, http://www.wikidata.org/entity/Q374273, http://www.wikidata.org/entity/Q5147723, http://www.wikidata.org/entity/Q5318180, http://www.wikidata.org/entity/Q3007115, http://www.wikidata.org/entity/Q3206353, http://www.wikidata.org/entity/Q15509336, http://www.wikidata.org/entity/Q3940081, http://www.wikidata.org/entity/Q11684745, http://www.wikidata.org/entity/Q5401290, http://www.wikidata.org/entity/Q6968702, http://www.wikidata.org/entity/Q21591117",Nate Parker,http://www.wikidata.org/entity/Q6968702,"Netflix, Searchlight Pictures","http://www.wikidata.org/entity/Q907311, http://www.wikidata.org/entity/Q953040","Nate Parker, Jason Michael Berman, Preston Holmes","http://www.wikidata.org/entity/Q6968702, http://www.wikidata.org/entity/Q22095338, http://www.wikidata.org/entity/Q28936986",Henry Jackman,http://www.wikidata.org/entity/Q1356888,Elliot Davis,http://www.wikidata.org/entity/Q385158,,,,,,
http://www.wikidata.org/entity/Q26684632,The Wedding Party,2017-08-01T00:00:00Z,90,90,English,60000000,453000000,"drama film, romantic comedy","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q860626","Richard Mofe Damijo, Alibaba Akporobome, Beverly Naya, Banky W., Iretiola Doyle, Zainab Balogun, Afeez Oyetoro, Enyinna Nwigwe, Jumoke George, Ikechukwu, Sambasa Nzeribe, Kunle Idowu, Ayo Makun, Sola Sobowale, Adesua Etomi, Somkele Iyamah","http://www.wikidata.org/entity/Q7327851, http://www.wikidata.org/entity/Q16442101, http://www.wikidata.org/entity/Q16727499, http://www.wikidata.org/entity/Q4856820, http://www.wikidata.org/entity/Q17612559, http://www.wikidata.org/entity/Q18684496, http://www.wikidata.org/entity/Q19665783, http://www.wikidata.org/entity/Q32540999, http://www.wikidata.org/entity/Q58974006, http://www.wikidata.org/entity/Q59781864, http://www.wikidata.org/entity/Q74881150, http://www.wikidata.org/entity/Q51337249, http://www.wikidata.org/entity/Q17417454, http://www.wikidata.org/entity/Q20002469, http://www.wikidata.org/entity/Q24713124, http://www.wikidata.org/entity/Q27121920",Kemi Adetiba,http://www.wikidata.org/entity/Q18216886,,,"Don Omope, Zulu Oyibo, Ijeoma Agukoronye","http://www.wikidata.org/entity/Q109016445, http://www.wikidata.org/entity/Q113348779, http://www.wikidata.org/entity/Q113348793",Dr. Bayo Adepetun,http://www.wikidata.org/entity/Q113348958,Akpe Ododoru,http://www.wikidata.org/entity/Q113348901,,,Ebonylife TV,http://www.wikidata.org/entity/Q109039812,,
